Lambda	Ref_ID	Obs_abd	ref_abd	E	pval	Total_corrected	Corrected
1	Root149	3956	10000	10000	1	8830	Yes
1.67130090031042e-197	Root149	191	10000	1.67130090031042e-193	0	8830	No
0.0678676276310218	Root149	109	10000	678.676276310218	1	8830	Yes
0.0017456019067091	Root149	92	10000	17.456019067091	1.11022302462516e-16	8830	Yes
0.18103479714666	Root149	47	10000	1810.3479714666	1	8830	Yes
1.25135481978247e-196	Root149	40	10000	1.25135481978247e-192	0	8830	No
0.0285583751439463	Root149	38	10000	285.583751439463	1	8830	Yes
0.0218684288344112	Root149	32	10000	218.684288344112	1	8830	Yes
0.029086184509181	Root149	29	10000	290.86184509181	1	8830	Yes
0.0250194007232128	Root149	24	10000	250.194007232128	1	8830	Yes
0.18103479714666	Root149	22	10000	1810.3479714666	1	8830	Yes
0.0847642835533665	Root149	21	10000	847.642835533665	1	8830	Yes
0.00162228744183151	Root149	18	10000	16.2228744183151	0.361602805552129	8830	Yes
0.0613907674006378	Root149	18	10000	613.907674006378	1	8830	Yes
0.00811605349873889	Root149	18	10000	81.1605349873889	1	8830	Yes
1	Root149	17	10000	10000	1	8830	Yes
2.01507082067478e-116	Root149	16	10000	2.01507082067478e-112	0	8830	No
0.00199816329134657	Root149	16	10000	19.9816329134657	0.842536047101862	8830	Yes
0.00199816329134657	Root149	15	10000	19.9816329134657	0.894422277301607	8830	Yes
0.00188499072355422	Root149	14	10000	18.8499072355422	0.895786161903713	8830	Yes
0.0017204703995504	Root149	14	10000	17.204703995504	0.812282749561355	8830	Yes
0.00245947295895808	Root149	14	10000	24.5947295895808	0.992046623274295	8830	Yes
0.00401811098851363	Root149	14	10000	40.1811098851363	0.999999410559947	8830	Yes
0.00162228744183151	Root149	13	10000	16.2228744183151	0.821208363913025	8830	Yes
0.0017311205184861	Root149	13	10000	17.311205184861	0.879941045107234	8830	Yes
0.00811605349873889	Root149	13	10000	81.1605349873889	1	8830	Yes
0.0562089700930651	Root149	13	10000	562.089700930651	1	8830	Yes
0.00221940363344474	Root149	13	10000	22.1940363344474	0.986274099218332	8830	Yes
0.00571117278434655	Root149	13	10000	57.1117278434655	0.999999999999502	8830	Yes
0.00221940363344474	Root149	13	10000	22.1940363344474	0.986274099218332	8830	Yes
9.06021399058859e-198	Root149	13	10000	9.06021399058859e-194	0	8830	No
0.00162228744183151	Root149	12	10000	16.2228744183151	0.883681293368185	8830	Yes
0.0015754558488478	Root149	12	10000	15.754558488478	0.860360847949584	8830	Yes
0.00190398217426294	Root149	12	10000	19.0398217426294	0.965973063064965	8830	Yes
0.00188499072355422	Root149	12	10000	18.8499072355422	0.962794333231776	8830	Yes
0.00221940363344474	Root149	12	10000	22.1940363344474	0.993125052990187	8830	Yes
0.0113821220115544	Root149	12	10000	113.821220115544	1	8830	Yes
0.00221940363344474	Root149	12	10000	22.1940363344474	0.993125052990187	8830	Yes
0.00221940363344474	Root149	12	10000	22.1940363344474	0.993125052990187	8830	Yes
0.00188499072355422	Root149	11	10000	18.8499072355422	0.980205784648747	8830	Yes
0.00161915532750569	Root149	11	10000	16.1915532750569	0.928904970500725	8830	Yes
0.00188499072355422	Root149	11	10000	18.8499072355422	0.980205784648747	8830	Yes
0.0015754558488478	Root149	11	10000	15.754558488478	0.913841300177598	8830	Yes
0.00245947295895808	Root149	11	10000	24.5947295895808	0.999246164428322	8830	Yes
0.00272207845870335	Root149	11	10000	27.2207845870335	0.999857490559456	8830	Yes
0.00401811098851363	Root149	11	10000	40.1811098851363	0.9999999858769	8830	Yes
0.00199816329134657	Root149	11	10000	19.9816329134657	0.989080960681862	8830	Yes
0.00245947295895808	Root149	11	10000	24.5947295895808	0.999246164428322	8830	Yes
0.00199816329134657	Root149	11	10000	19.9816329134657	0.989080960681862	8830	Yes
0.00245947295895808	Root149	11	10000	24.5947295895808	0.999246164428322	8830	Yes
0.00199816329134657	Root149	11	10000	19.9816329134657	0.989080960681862	8830	Yes
1.34858452943956e-235	Root149	10	10000	1.34858452943956e-231	0	8830	No
0.00188499072355422	Root149	10	10000	18.8499072355422	0.990366363329237	8830	Yes
0.00188499072355422	Root149	10	10000	18.8499072355422	0.990366363329237	8830	Yes
0.00188499072355422	Root149	10	10000	18.8499072355422	0.990366363329237	8830	Yes
0.0017204703995504	Root149	10	10000	17.204703995504	0.976515019373296	8830	Yes
0.00190398217426294	Root149	10	10000	19.0398217426294	0.991340751465294	8830	Yes
0.301736376200471	Root149	10	10000	3017.36376200471	1	8830	Yes
0.00111299889225921	Root149	10	10000	11.1299889225921	0.673428185381515	8830	Yes
0.0497195076604678	Root149	10	10000	497.195076604678	1	8830	Yes
0.00199816329134657	Root149	10	10000	19.9816329134657	0.994950902753564	8830	Yes
0.00245947295895808	Root149	10	10000	24.5947295895808	0.999711002983388	8830	Yes
0.00245947295895808	Root149	10	10000	24.5947295895808	0.999711002983388	8830	Yes
0.00199816329134657	Root149	10	10000	19.9816329134657	0.994950902753564	8830	Yes
0.00199816329134657	Root149	10	10000	19.9816329134657	0.994950902753564	8830	Yes
3.11049026070605e-149	Root149	10	10000	3.11049026070605e-145	0	8830	No
3.15755869716345e-204	Root149	9	10000	3.15755869716345e-200	0	8830	No
0.00157086083684074	Root149	9	10000	15.7086083684074	0.974254153445165	8830	Yes
0.00188499072355422	Root149	9	10000	18.8499072355422	0.995756617272415	8830	Yes
0.0017204703995504	Root149	9	10000	17.204703995504	0.988793759405916	8830	Yes
0.0017204703995504	Root149	9	10000	17.204703995504	0.988793759405916	8830	Yes
