0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
A2A	0.436974789814276	0.436974789814276	0.436974789814276	0.52909129569356	0.605096315793768	0.667259558292745	0.717720616238879	0.758878029009586	0.793006769169623	0.821582340399627	0.845742319912851	0.866368691792067	0.882649868942514	0.894773286480306	0.904456922231244	0.913019961089896	0.921539685960096	0.931385228594638	0.941743468245649	0.950954106591178	0.958216219488724	0.964399265026319	0.970236229904295	0.975356851249818	0.979603052274914	0.982961159761347	0.984821498379973	0.985536388418335	0.986237288486344	0.987799164806096	0.98981260421325	0.991550934882492	0.993051931559572	0.994331708172663	0.995397939165748	0.996237811374301	0.996867459834215	0.997334167092055	0.997679235803192	0.997679235803192	0.997679235803192	0.997679235803192	0.997679235803192
A2C	0.0984210707528241	0.0984210707528241	0.0984210707528241	0.0881630815570963	0.0789373448013941	0.0707054549639626	0.0634126001685359	0.0570221858231989	0.0513929035437187	0.0463456399013674	0.0417461554744777	0.0374956947691244	0.0340026029436587	0.0313481742679587	0.029089051340056	0.0268975033051258	0.0245362040529006	0.0219376079677592	0.0192999007350354	0.0168011323690361	0.0145537017992792	0.0124062471794524	0.0103215612626162	0.00846369858044081	0.00690806845204265	0.00566769600369625	0.00503396255555577	0.00486938039797453	0.00467713201068402	0.00406733241530799	0.00323776500183477	0.00252176796976739	0.00190448045222986	0.00138212385062779	0.000955221089085546	0.000631113308376386	0.000401473086270788	0.000244904859832631	0.000142684383946546	0.000142684383946546	0.000142684383946546	0.000142684383946546	0.000142684383946546
A2G	0.393176753850549	0.393176753850549	0.393176753850549	0.322759075325826	0.26522917421245	0.218636640779703	0.181171568026237	0.150837081006249	0.12589831333186	0.105297447947719	0.0882052316836277	0.0739676524265057	0.0624313698388839	0.0531680705431232	0.0454647439968154	0.0388475129547965	0.0330069288674606	0.02720358727271	0.0217121268275021	0.0172901133476797	0.0141539204348163	0.0117863378014029	0.00974131562899824	0.0080606019134293	0.00673601411055968	0.00573454136592662	0.00509553311744335	0.00472135670512431	0.00443086697262387	0.00409085221707885	0.00372616334891211	0.0034188009454659	0.00315311266005611	0.00291708328612422	0.00270141780407076	0.00250649411708723	0.00233390509736721	0.00217870242759548	0.00203688971276532	0.00203688971276532	0.00203688971276532	0.00203688971276532	0.00203688971276532
A2T	0.0714273855823508	0.0714273855823508	0.0714273855823508	0.0599865474235173	0.0507371651923881	0.0433983459635896	0.0376952155663483	0.0332627041609653	0.0297020139547976	0.0267745717512873	0.0243062929290437	0.0221679610123032	0.0209161582749432	0.0207104687086126	0.0209892824318849	0.0212350226501815	0.0209171811195429	0.0194735761648923	0.0172445041918131	0.0149546476921063	0.0130761582771804	0.0114081499928253	0.00970089320409075	0.00811884825631159	0.00675286516248399	0.00563660286902986	0.00504900594702829	0.00487287447856581	0.00465471253034864	0.00404265056151697	0.00322346743600313	0.00250849620227463	0.00189047532814161	0.00136908469058471	0.000945421941095226	0.00062458120023502	0.000397161982147434	0.00024222562051717	0.000141190100096113	0.000141190100096113	0.000141190100096113	0.000141190100096113	0.000141190100096113
C2A	0.192555273676646	0.192555273676646	0.192555273676646	0.175857580264392	0.159417507159625	0.143503516547643	0.128328479052947	0.113964224492603	0.100456814866402	0.0879087402118574	0.076384090550111	0.0659125914889268	0.0563781042905058	0.0477571688820818	0.0401301017145553	0.0335060390301065	0.0278429098666533	0.0224949066427172	0.0176157825155719	0.0138080260681565	0.0111875995528711	0.00938336888832445	0.00796018833333304	0.00679707598003794	0.00581362062467715	0.0049566537921251	0.00506402034514129	0.00641106390287843	0.00798558928010742	0.00777034720565714	0.00610836641996334	0.00459014657208226	0.00320380257125775	0.00201819701629553	0.00111491279342525	0.000546919908817005	0.000244144023253749	9.81162619727295e-05	3.51189421942059e-05	3.51189421942059e-05	3.51189421942059e-05	3.51189421942059e-05	3.51189421942059e-05
C2C	0.449226745766327	0.449226745766327	0.449226745766327	0.526051276282828	0.592680573699784	0.649715493657379	0.698063604056046	0.739713737669145	0.776262395283781	0.808126075343612	0.835736278859342	0.859522379414311	0.880088547434431	0.897828230893233	0.912950071293376	0.925806275794853	0.936838589517797	0.947637782775557	0.957846983031898	0.966006707833539	0.971656759559022	0.975505539313836	0.978561582615762	0.9811103005194	0.983343289986788	0.985392544758928	0.985532245694719	0.983263914665827	0.980734988876108	0.981662009144778	0.985274298593217	0.98860018996345	0.991631423432264	0.994237507563319	0.996281617279213	0.997671836377803	0.998528164873734	0.999047990023454	0.999368327519043	0.999368327519043	0.999368327519043	0.999368327519043	0.999368327519043
C2G	0.260826254606699	0.260826254606699	0.260826254606699	0.220497288124501	0.18580638268321	0.156376836829004	0.131700562586541	0.110779871892079	0.0928411509799151	0.0776186858111223	0.0648153469205299	0.0541271166673882	0.0448694005237677	0.0367585103582809	0.02993154270538	0.0243643686497248	0.0199401024513345	0.0161008197590264	0.012756489265862	0.0101762131402921	0.00838730312217259	0.00724417789441057	0.00646770794179762	0.00587471883499691	0.00534293669882711	0.00478861690712391	0.00491742000934138	0.00597345451942266	0.00706905819341967	0.00671169141464081	0.00525086324975205	0.00389936323047285	0.00268887578746468	0.00168426979474042	0.000937489168240098	0.000468178806983874	0.000213708819157417	8.84084523201713e-05	3.2864060966968e-05	3.2864060966968e-05	3.2864060966968e-05	3.2864060966968e-05	3.2864060966968e-05
C2T	0.0973917259503278	0.0973917259503278	0.0973917259503278	0.0775938553282789	0.0620955364573812	0.0504041529659733	0.0419073543044661	0.0355421659461726	0.030439638869902	0.0263464986334078	0.0230642836700172	0.0204379124293739	0.0186639477512955	0.0176560898664042	0.0169882842866891	0.0163233165253155	0.0153783981642156	0.0137664908226996	0.0117807451866679	0.0100090529580128	0.00876833776593411	0.00786691390342921	0.0070105211091076	0.0062179046655652	0.00550015268970804	0.00486218454182347	0.00448631395079861	0.0043515669118717	0.00421036365036476	0.00385595223492392	0.00336647173706755	0.00291030023399487	0.00247589820901354	0.00206002562564466	0.00166598075912115	0.00131306490639636	0.00101398228385488	0.000765485262253417	0.000563689477795384	0.000563689477795384	0.000563689477795384	0.000563689477795384	0.000563689477795384
G2A	0.18381540630202	0.18381540630202	0.18381540630202	0.156575385520583	0.133372322375148	0.113717461522386	0.0971463293171722	0.0831597285327301	0.0712618549167039	0.0610882448097019	0.0523496411457382	0.0448151011209768	0.0381795121347644	0.0323543888874625	0.0273919613904383	0.0232696812116618	0.0199216533915641	0.0171256895929625	0.0147145153889823	0.0126724441316799	0.010970657390505	0.00962822102984002	0.00858271009184242	0.00771649371639509	0.00694840177840644	0.00622259263592342	0.00577391926400104	0.00561555527888611	0.00543897645338611	0.00498452675034295	0.00435684676848701	0.00376698389225431	0.00319467341605697	0.0026351691968105	0.00209641848583233	0.00161379806795246	0.00121073602240357	0.000883052344944545	0.000624550834639759	0.000624550834639759	0.000624550834639759	0.000624550834639759	0.000624550834639759
G2C	0.101402076088525	0.101402076088525	0.101402076088525	0.0864055741052098	0.0735551758763569	0.0629864460345295	0.0546297460132445	0.0478669287725998	0.042067890759087	0.0370828511498288	0.0327869575489703	0.0290758990808455	0.0260698867602052	0.0236998478857655	0.0216763232794549	0.0197921308031178	0.0179019187968467	0.0154656633824452	0.0127140657825458	0.0103660961198761	0.00873632600312779	0.00778672477095254	0.007191598936631	0.00672221971893622	0.00621138605581062	0.00554146869049088	0.0049857379594876	0.0046301954876802	0.00420523871864863	0.00353882890510641	0.00278525793746751	0.0021300249233006	0.00156584639800988	0.00109468870243962	0.000720013962603438	0.000447373183503406	0.000265034040537713	0.000149261853171499	7.96753987061223e-05	7.96753987061223e-05	7.96753987061223e-05	7.96753987061223e-05	7.96753987061223e-05
