Lambda	Ref_ID	Obs_abd	ref_abd	E	pval	Total_corrected	Corrected
1	Root149	3956	10000	10000	1	8823	Yes
4.0378348899361e-199	Root149	191	10000	4.0378348899361e-195	0	8823	No
0.0448151011209768	Root149	109	10000	448.151011209768	1	8823	Yes
0.00188867577552706	Root149	92	10000	18.8867577552706	-2.22044604925031e-16	8823	Yes
0.186498242912546	Root149	47	10000	1864.98242912546	1	8823	Yes
1.51498445892266e-198	Root149	40	10000	1.51498445892266e-194	0	8823	No
0.0436494048736832	Root149	38	10000	436.494048736832	1	8823	Yes
0.0192999007350354	Root149	32	10000	192.999007350354	1	8823	Yes
0.0243643686497248	Root149	29	10000	243.643686497248	1	8823	Yes
0.02720358727271	Root149	24	10000	272.0358727271	1	8823	Yes
0.186498242912546	Root149	22	10000	1864.98242912546	1	8823	Yes
0.100939759904739	Root149	21	10000	1009.39759904739	1	8823	Yes
0.0018628586398706	Root149	18	10000	18.628586398706	0.588976833986126	8823	Yes
0.0477571688820818	Root149	18	10000	477.571688820818	1	8823	Yes
0.00673601411055968	Root149	18	10000	67.3601411055968	0.999999999999748	8823	Yes
1	Root149	17	10000	10000	1	8823	Yes
2.07965939380101e-117	Root149	16	10000	2.07965939380101e-113	0	8823	No
0.00203688971276532	Root149	16	10000	20.3688971276532	0.861672820479062	8823	Yes
0.00203688971276532	Root149	15	10000	20.3688971276532	0.908652871687023	8823	Yes
0.00160280646185563	Root149	14	10000	16.0280646185563	0.727767223685886	8823	Yes
0.00172322716167063	Root149	14	10000	17.2322716167063	0.814005252826091	8823	Yes
0.00233390509736721	Root149	14	10000	23.3390509736721	0.985189132528938	8823	Yes
0.0034188009454659	Root149	14	10000	34.188009454659	0.999968719012766	8823	Yes
0.0018628586398706	Root149	13	10000	18.628586398706	0.929142482122248	8823	Yes
0.00267551116555924	Root149	13	10000	26.7551116555924	0.998830336747362	8823	Yes
0.00673601411055968	Root149	13	10000	67.3601411055968	1	8823	Yes
0.0448694005237677	Root149	13	10000	448.694005237677	1	8823	Yes
0.00217870242759548	Root149	13	10000	21.7870242759548	0.983210183421066	8823	Yes
0.00472135670512431	Root149	13	10000	47.2135670512431	0.999999998935052	8823	Yes
0.00217870242759548	Root149	13	10000	21.7870242759548	0.983210183421066	8823	Yes
1.86802044357513e-199	Root149	13	10000	1.86802044357513e-195	0	8823	No
0.0018628586398706	Root149	12	10000	18.628586398706	0.958758697649454	8823	Yes
0.00202325682942375	Root149	12	10000	20.2325682942375	0.980947729253245	8823	Yes
0.00297119860641287	Root149	12	10000	29.7119860641287	0.999923004253154	8823	Yes
0.00160280646185563	Root149	12	10000	16.0280646185563	0.874393147464674	8823	Yes
0.00217870242759548	Root149	12	10000	21.7870242759548	0.991452582220346	8823	Yes
0.00974131562899824	Root149	12	10000	97.4131562899824	1	8823	Yes
0.00217870242759548	Root149	12	10000	21.7870242759548	0.991452582220346	8823	Yes
0.00217870242759548	Root149	12	10000	21.7870242759548	0.991452582220346	8823	Yes
0.00160280646185563	Root149	11	10000	16.0280646185563	0.923555900399827	8823	Yes
0.00242050715865163	Root149	11	10000	24.2050715865163	0.999042474656715	8823	Yes
0.00160280646185563	Root149	11	10000	16.0280646185563	0.923555900399827	8823	Yes
0.00202325682942375	Root149	11	10000	20.2325682942375	0.990465005651637	8823	Yes
0.00233390509736721	Root149	11	10000	23.3390509736721	0.998383814276389	8823	Yes
0.00250649411708723	Root149	11	10000	25.0649411708723	0.999436784822684	8823	Yes
0.0034188009454659	Root149	11	10000	34.188009454659	0.999998811665132	8823	Yes
0.00203688971276532	Root149	11	10000	20.3688971276532	0.991146596961571	8823	Yes
0.00233390509736721	Root149	11	10000	23.3390509736721	0.998383814276389	8823	Yes
0.00203688971276532	Root149	11	10000	20.3688971276532	0.991146596961571	8823	Yes
0.00233390509736721	Root149	11	10000	23.3390509736721	0.998383814276389	8823	Yes
0.00203688971276532	Root149	11	10000	20.3688971276532	0.991146596961571	8823	Yes
7.5772052877415e-237	Root149	10	10000	7.5772052877415e-233	0	8823	No
0.00160280646185563	Root149	10	10000	16.0280646185563	0.957296111408248	8823	Yes
0.00160280646185563	Root149	10	10000	16.0280646185563	0.957296111408248	8823	Yes
0.00160280646185563	Root149	10	10000	16.0280646185563	0.957296111408248	8823	Yes
0.00172322716167063	Root149	10	10000	17.2322716167063	0.976851298414762	8823	Yes
0.00297119860641287	Root149	10	10000	29.7119860641287	0.99999125883402	8823	Yes
0.28679208493911	Root149	10	10000	2867.9208493911	1	8823	Yes
0.00121073602240357	Root149	10	10000	12.1073602240357	0.766861445054672	8823	Yes
0.0335060390301065	Root149	10	10000	335.060390301065	1	8823	Yes
0.00203688971276532	Root149	10	10000	20.3688971276532	0.995975099789399	8823	Yes
0.00233390509736721	Root149	10	10000	23.3390509736721	0.999349971580972	8823	Yes
0.00233390509736721	Root149	10	10000	23.3390509736721	0.999349971580972	8823	Yes
0.00203688971276532	Root149	10	10000	20.3688971276532	0.995975099789399	8823	Yes
0.00203688971276532	Root149	10	10000	20.3688971276532	0.995975099789399	8823	Yes
5.27036388448115e-150	Root149	10	10000	5.27036388448115e-146	0	8823	No
3.14187783479985e-206	Root149	9	10000	3.14187783479985e-202	0	8823	No
0.0022060416043697	Root149	9	10000	22.060416043697	0.999445600177663	8823	Yes
0.00160280646185563	Root149	9	10000	16.0280646185563	0.978346819532645	8823	Yes
0.00172322716167063	Root149	9	10000	17.2322716167063	0.98896953078416	8823	Yes
0.00172322716167063	Root149	9	10000	17.2322716167063	0.98896953078416	8823	Yes
0.215912233942535	Root149	9	10000	2159.12233942535	1	8823	Yes
0.0616802471486436	Root149	9	10000	616.802471486436	1	8823	Yes
0.00250649411708723	Root149	9	10000	25.0649411708723	0.999927856230737	8823	Yes
0.00250649411708723	Root149	9	10000	25.0649411708723	0.999927856230737	8823	Yes
0.00472135670512431	Root149	9	10000	47.2135670512431	0.999999999997704	8823	Yes
0.00203688971276532	Root149	9	10000	20.3688971276532	0.998345627166295	8823	Yes
0.00217870242759548	Root149	9	10000	21.7870242759548	0.99933651868182	8823	Yes
0.00233390509736721	Root149	9	10000	23.3390509736721	0.999763937558283	8823	Yes
0.00217870242759548	Root149	9	10000	21.7870242759548	0.99933651868182	8823	Yes
0.0018628586398706	Root149	8	10000	18.628586398706	0.998070906403338	8823	Yes
0.00160280646185563	Root149	8	10000	16.0280646185563	0.990167109606859	8823	Yes
0.00160280646185563	Root149	8	10000	16.0280646185563	0.990167109606859	8823	Yes
0.000883052344944545	Root149	8	10000	8.83052344944545	0.655884625802838	8823	Yes
0.00160280646185563	Root149	8	10000	16.0280646185563	0.990167109606859	8823	Yes
1.33238932444037e-113	Root149	8	10000	1.33238932444037e-109	0	8823	No
0.329167048005822	Root149	8	10000	3291.67048005822	1	8823	Yes
0.0018628586398706	Root149	8	10000	18.628586398706	0.998070906403338	8823	Yes
0.00267551116555924	Root149	8	10000	26.7551116555924	0.999993767181335	8823	Yes
0.00242050715865163	Root149	8	10000	24.2050715865163	0.999959056847083	8823	Yes
0.00367554927020878	Root149	8	10000	36.7554927020878	0.999999997597286	8823	Yes
0.00330596241141248	Root149	8	10000	33.0596241141248	0.999999952762004	8823	Yes
0.00172322716167063	Root149	8	10000	17.2322716167063	0.995298591383393	8823	Yes
0.00367554927020878	Root149	8	10000	36.7554927020878	0.999999997597286	8823	Yes
0.000624550834639759	Root149	8	10000	6.24550834639759	0.290455541530769	8823	Yes
0.00172322716167063	Root149	8	10000	17.2322716167063	0.995298591383393	8823	Yes
0.00509553311744335	Root149	8	10000	50.9553311744335	0.999999999999985	8823	Yes
0.00166598075912115	Root149	8	10000	16.6598075912115	0.993298179820175	8823	Yes
0.00291708328612422	Root149	8	10000	29.1708328612422	0.99999900662692	8823	Yes
0.00233390509736721	Root149	8	10000	23.3390509736721	0.999923571032669	8823	Yes
0.00203688971276532	Root149	8	10000	20.3688971276532	0.999393045014122	8823	Yes
0.00250649411708723	Root149	8	10000	25.0649411708723	0.99997814226117	8823	Yes
0.00203688971276532	Root149	8	10000	20.3688971276532	0.999393045014122	8823	Yes
0.00203688971276532	Root149	8	10000	20.3688971276532	0.999393045014122	8823	Yes
0.000563689477795384	Root149	8	10000	5.63689477795384	0.207721318126206	8823	Yes
0.00202325682942375	Root149	7	10000	20.2325682942375	0.999784194535	8823	Yes
0.00160280646185563	Root149	7	10000	16.0280646185563	0.996066906172704	8823	Yes
0.00267551116555924	Root149	7	10000	26.7551116555924	0.999998442588984	8823	Yes
0.00121073602240357	Root149	7	10000	12.1073602240357	0.956841030076026	8823	Yes
0.00172322716167063	Root149	7	10000	17.2322716167063	0.998236827613651	8823	Yes
0.000883052344944545	Root149	7	10000	8.83052344944545	0.777342868726477	8823	Yes
0.00172322716167063	Root149	7	10000	17.2322716167063	0.998236827613651	8823	Yes
0.00202325682942375	Root149	7	10000	20.2325682942375	0.999784194535	8823	Yes
0.000883052344944545	Root149	7	10000	8.83052344944545	0.777342868726477	8823	Yes
0.000883052344944545	Root149	7	10000	8.83052344944545	0.777342868726477	8823	Yes
0.00172322716167063	Root149	7	10000	17.2322716167063	0.998236827613651	8823	Yes
0.00242050715865163	Root149	7	10000	24.2050715865163	0.999988758802324	8823	Yes
0.00250649411708723	Root149	7	10000	25.0649411708723	0.999994192099098	8823	Yes
0.00250649411708723	Root149	7	10000	25.0649411708723	0.999994192099098	8823	Yes
0.00270141780407076	Root149	7	10000	27.0141780407076	0.999998729649878	8823	Yes
0.00217870242759548	Root149	7	10000	21.7870242759548	0.999930684408834	8823	Yes
0.00203688971276532	Root149	7	10000	20.3688971276532	0.999804424321018	8823	Yes
0.00270141780407076	Root149	7	10000	27.0141780407076	0.999998729649878	8823	Yes
0.00217870242759548	Root149	7	10000	21.7870242759548	0.999930684408834	8823	Yes
